model_name,task_name,file_path,date,evaluation_time,"acc,none","acc_stderr,none","acc_norm,none","acc_norm_stderr,none",n_samples_original,n_samples_effective,n_shot
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,Analogies\Low\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.4166666666666667,0.012733622178818382,0.416,0.012730699659060487,1500,1500,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,Analogies\Low\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.892,0.019669559381568752,0.848,0.022752024491765468,250,250,5
Qwen/Qwen3-8B,analogies_high,Analogies\Low\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.49125,0.010206770948599028,0.485,0.010203739435015534,2400,2400,5
Qwen/Qwen3-8B,analogies_low,Analogies\Low\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.406,0.015537226438634595,0.397,0.015480007449307989,1000,1000,5
Qwen/Qwen3-8B,analogies_medium,Analogies\Low\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.45,0.012849516464920127,0.46,0.01287285802178749,1500,1500,5
Qwen/Qwen3-8B,analogies_mono,Analogies\Low\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.6875,0.023204644228784484,0.65,0.023878346647045995,400,400,5
google/gemma-3-1b-it,analogies_high,Analogies\Medium\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.4091666666666667,0.010038469264549542,0.44,0.010134567690629278,2400,2400,5
google/gemma-3-1b-it,analogies_low,Analogies\Medium\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.339,0.01497675877162035,0.333,0.014910846164229859,1000,1000,5
google/gemma-3-1b-it,analogies_medium,Analogies\Medium\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.37133333333333335,0.01247933285175456,0.4053333333333333,0.012680668267614695,1500,1500,5
google/gemma-3-1b-it,analogies_mono,Analogies\Medium\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.5375,0.024960808880119843,0.5475,0.024918098926991643,400,400,5
google/mt5-large,analogies_high,Analogies\Medium\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.3045833333333333,0.009396378254261456,0.2654166666666667,0.009015078372747957,2400,2400,5
google/mt5-large,analogies_low,Analogies\Medium\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.294,0.014414290540008213,0.267,0.013996674851796282,1000,1000,5
google/mt5-large,analogies_medium,Analogies\Medium\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.30733333333333335,0.011916978642131138,0.26,0.011329264531434308,1500,1500,5
google/mt5-large,analogies_mono,Analogies\Medium\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.3025,0.022995790723031092,0.255,0.021820353332356286,400,400,5
meta-llama/Llama-3.1-8B-Instruct,analogies_high,Analogies\Medium\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.5204166666666666,0.010199820179254564,0.5158333333333334,0.01020321459033726,2400,2400,5
meta-llama/Llama-3.1-8B-Instruct,analogies_low,Analogies\Medium\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.435,0.015685057252717197,0.422,0.015625625112620663,1000,1000,5
meta-llama/Llama-3.1-8B-Instruct,analogies_medium,Analogies\Medium\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.4706666666666667,0.012892006810297882,0.4673333333333333,0.012886658601277011,1500,1500,5
meta-llama/Llama-3.1-8B-Instruct,analogies_mono,Analogies\Medium\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.775,0.020905264293664554,0.68,0.02335301711816499,400,400,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_high,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.49125,0.010206770948599035,0.4970833333333333,0.010208160534531878,2400,2400,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_low,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.389,0.015424555647308495,0.385,0.015395194445410808,1000,1000,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_medium,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.4166666666666667,0.012733622178818382,0.416,0.012730699659060487,1500,1500,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_mono,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.7225,0.022416302137144645,0.655,0.023798180255192706,400,400,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_high,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.6629166666666667,0.009651237099023624,0.6266666666666667,0.009875328637384974,2400,2400,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_low,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.5151209677419355,0.015875758682922167,0.4848790322580645,0.015875758682922167,992,992,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_medium,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.4166666666666667,0.012733622178818382,0.416,0.012730699659060487,1500,1500,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_mono,Analogies\Medium\Mistral-7B-Instruct-v0.3.json,1752443686.0157306,1709.0482957325876,0.892,0.019669559381568752,0.848,0.022752024491765468,250,250,5
Qwen/Qwen3-8B,analogies_high,Analogies\Medium\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.49125,0.010206770948599028,0.485,0.010203739435015534,2400,2400,5
Qwen/Qwen3-8B,analogies_low,Analogies\Medium\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.406,0.015537226438634595,0.397,0.015480007449307989,1000,1000,5
Qwen/Qwen3-8B,analogies_medium,Analogies\Medium\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.45,0.012849516464920127,0.46,0.01287285802178749,1500,1500,5
Qwen/Qwen3-8B,analogies_mono,Analogies\Medium\Qwen3-8B.json,1752416697.5706363,1214.3463006140664,0.6875,0.023204644228784484,0.65,0.023878346647045995,400,400,5
google/gemma-3-1b-it,analogies_all,Analogies\Mixed\Gemma-3-1b-it.json,1752451607.4470053,1019.7617305275053,0.3675,0.00762400609045013,0.4005,0.0077485448625448615,4000,4000,5
google/gemma-3-1b-it,hypernymy_all,Analogies\Mixed\Gemma-3-1b-it.json,1752451607.4470053,1019.7617305275053,0.4605,0.007881971128291273,0.441,0.007851443261612752,4000,4000,5
google/gemma-3-1b-it,meronymy_all,Analogies\Mixed\Gemma-3-1b-it.json,1752451607.4470053,1019.7617305275053,0.4015,0.007751739150988108,0.333,0.007452626074670165,4000,4000,5
google/mt5-large,analogies_all,Analogies\Mixed\Google-mt5-large.json,1752491637.2499845,756.0853804536164,0.2735,0.007048890637171296,0.284,0.0071308282953694326,4000,4000,5
google/mt5-large,hypernymy_all,Analogies\Mixed\Google-mt5-large.json,1752491637.2499845,756.0853804536164,0.38625,0.007699354153992134,0.293,0.007197270328051312,4000,4000,5
google/mt5-large,meronymy_all,Analogies\Mixed\Google-mt5-large.json,1752491637.2499845,756.0853804536164,0.31875,0.007368899819249652,0.2215,0.0065665986290004835,4000,4000,5
meta-llama/Llama-3.1-8B-Instruct,analogies_all,Analogies\Mixed\Llama-3.1-8B-Instruct.json,1752499548.6365058,1899.3147991076112,0.496,0.007906429529628282,0.5095,0.007905255262493915,4000,4000,5
meta-llama/Llama-3.1-8B-Instruct,hypernymy_all,Analogies\Mixed\Llama-3.1-8B-Instruct.json,1752499548.6365058,1899.3147991076112,0.70075,0.007241406553095682,0.69525,0.007278915099536364,4000,4000,5
meta-llama/Llama-3.1-8B-Instruct,meronymy_all,Analogies\Mixed\Llama-3.1-8B-Instruct.json,1752499548.6365058,1899.3147991076112,0.5915,0.007773161712633364,0.547,0.007871673317040202,4000,4000,5
mistralai/Mistral-7B-Instruct-v0.3,analogies_all,Analogies\Mixed\Mistral-7B-Instruct-v0.3.json,1752502396.6335452,2042.99693417456,0.44575,0.007860005044198249,0.47275,0.00789493140315151,4000,4000,5
mistralai/Mistral-7B-Instruct-v0.3,hypernymy_all,Analogies\Mixed\Mistral-7B-Instruct-v0.3.json,1752502396.6335452,2042.99693417456,0.618,0.007683342920865466,0.6025,0.0077387602109382425,4000,4000,5
mistralai/Mistral-7B-Instruct-v0.3,meronymy_all,Analogies\Mixed\Mistral-7B-Instruct-v0.3.json,1752502396.6335452,2042.99693417456,0.50275,0.007906562958040155,0.44775,0.00786339256368734,4000,4000,5
Qwen/Qwen3-8B,analogies_all,Analogies\Mixed\Qwen3-8B.json,1752489418.3087704,2192.0517944255844,0.46125,0.007882902029779355,0.4875,0.00790421132303259,4000,4000,5
Qwen/Qwen3-8B,hypernymy_all,Analogies\Mixed\Qwen3-8B.json,1752489418.3087704,2192.0517944255844,0.6655,0.0074609888143945605,0.67125,0.007428469217390986,4000,4000,5
Qwen/Qwen3-8B,meronymy_all,Analogies\Mixed\Qwen3-8B.json,1752489418.3087704,2192.0517944255844,0.543,0.007877389371855838,0.51425,0.00790347079374944,4000,4000,5
google/gemma-3-1b-it,analogies_high,Analogies\Monolingual_EN\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.4091666666666667,0.010038469264549542,0.44,0.010134567690629278,2400,2400,5
google/gemma-3-1b-it,analogies_low,Analogies\Monolingual_EN\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.339,0.01497675877162035,0.333,0.014910846164229859,1000,1000,5
google/gemma-3-1b-it,analogies_medium,Analogies\Monolingual_EN\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.37133333333333335,0.01247933285175456,0.4053333333333333,0.012680668267614695,1500,1500,5
google/gemma-3-1b-it,analogies_mono,Analogies\Monolingual_EN\Gemma-3-1b-it.json,1752421223.8075268,830.5526526710019,0.5375,0.024960808880119843,0.5475,0.024918098926991643,400,400,5
google/mt5-large,analogies_high,Analogies\Monolingual_EN\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.3045833333333333,0.009396378254261456,0.2654166666666667,0.009015078372747957,2400,2400,5
google/mt5-large,analogies_low,Analogies\Monolingual_EN\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.294,0.014414290540008213,0.267,0.013996674851796282,1000,1000,5
google/mt5-large,analogies_medium,Analogies\Monolingual_EN\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.30733333333333335,0.011916978642131138,0.26,0.011329264531434308,1500,1500,5
google/mt5-large,analogies_mono,Analogies\Monolingual_EN\Google-mt5-large.json,1752446583.3220806,567.9101229580119,0.3025,0.022995790723031092,0.255,0.021820353332356286,400,400,5
meta-llama/Llama-3.1-8B-Instruct,analogies_high,Analogies\Monolingual_EN\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.5204166666666666,0.010199820179254564,0.5158333333333334,0.01020321459033726,2400,2400,5
meta-llama/Llama-3.1-8B-Instruct,analogies_low,Analogies\Monolingual_EN\Llama-3.1-8B-Instruct.json,1752447197.159415,1407.9604069255292,0.435,0.015685057252717197,0.422,0.015625625112620663,1000,1000,5
